Thread-2 adding 1, current sum=1
Thread-5 adding 1, current sum=1      
Thread-4 adding 1, current sum=1      
Thread-1 adding 1, current sum=1      
Thread-3 adding 1, current sum=1      
Thread-2 adding 2, current sum=3
Thread-1 adding 2, current sum=3      
Thread-4 adding 2, current sum=3      
Thread-3 adding 2, current sum=3      
Thread-5 adding 2, current sum=3      
Thread-3 adding 3, current sum=6
Thread-5 adding 3, current sum=6      
Thread-4 adding 3, current sum=6      
Thread-2 adding 3, current sum=6      
Thread-1 adding 3, current sum=6      
Thread-4 adding 4, current sum=10
Thread-1 adding 4, current sum=10     
Thread-2 adding 4, current sum=10     
Thread-5 adding 4, current sum=10     
Thread-3 adding 4, current sum=10     
Thread-1 adding 5, current sum=15
Thread-2 adding 5, current sum=15     
Thread-5 adding 5, current sum=15     
Thread-4 adding 5, current sum=15     
Thread-3 adding 5, current sum=15     
Thread-3 adding 6, current sum=21
Thread-4 adding 6, current sum=21     
Thread-5 adding 6, current sum=21     
Thread-1 adding 6, current sum=21     
Thread-2 adding 6, current sum=21     
Thread-1 adding 7, current sum=28
Thread-2 adding 7, current sum=28     
Thread-5 adding 7, current sum=28     
Thread-3 adding 7, current sum=28     
Thread-4 adding 7, current sum=28     
Thread-3 adding 8, current sum=36
Thread-4 adding 8, current sum=36     
Thread-5 adding 8, current sum=36     
Thread-2 adding 8, current sum=36     
Thread-1 adding 8, current sum=36     
Thread-4 adding 9, current sum=45
Thread-3 adding 9, current sum=45     
Thread-5 adding 9, current sum=45     
Thread-1 adding 9, current sum=45     
Thread-2 adding 9, current sum=45     
Thread-3 adding 10, current sum=55
Thread-2 adding 10, current sum=55    
Thread-5 adding 10, current sum=55    
Thread-1 adding 10, current sum=55    
Thread-4 adding 10, current sum=55    
Thread-2 final sum=55
Thread-5 final sum=55
Thread-3 final sum=55
Thread-4 final sum=55
Thread-1 final sum=55
